"","cat.bef","cat.aft","obs.Estimate","obs.Std. Error","exp.mean","exp.upper","exp.lower","ratio.mean","ratio.upper","ratio.lower","non.zero","obs.Estimate.back","obs.lower","obs.upper"
"2","cumul","back",-4.32854554646325,0.100133599331978,0.0162280814011523,0.0190204305248753,0.0137421353910106,0.811403818940997,1.03627160105409,0.624833144327988,FALSE,0.0130150867960133,0.0107206241165625,0.0157927784296705
"5","back","cumul",-4.16784816332096,0.0789885490755271,0.0162295074552624,0.0190275742496762,0.0137439179535649,0.949060266619312,1.17864455893774,0.754620981279074,FALSE,0.0152494013485805,0.0130908339308063,0.017757493962498
"7","instant","cumul",-7.27426916820711,0.467425250033725,0.000673844864170245,0.000852849324915235,0.000524167733465789,1.16339533984257,2.66496153941935,0.401964924547382,FALSE,0.00069266638985776,0.000277219785622455,0.00172963165843844
"4","novel","back",-4.66927610208608,0.126649406736929,0.0174885320327568,0.0202264876801216,0.0150310323303012,0.538514907724107,0.709961341910914,0.399753649043377,TRUE,0.00929190722629541,0.00726418163219825,0.0118788798010407
"9","back","instant",-3.89984320626303,0.0841993805079056,0.0355138994211891,0.0423968520090909,0.0294754073067247,0.56540597329911,0.715817598705046,0.440017813375185,TRUE,0.0198433550793922,0.0168754818700433,0.0233208036294245
"3","instant","back",-3.60612937075129,0.0738456697357363,0.0355089512919663,0.042366210752965,0.0294664072484003,0.75287155134107,0.941143670000152,0.59456378119909,TRUE,0.0264387662772462,0.022957916933549,0.0304309397837398
"13","back","novel",-4.25236184908938,0.065555986239817,0.0174871093353483,0.0202252435055012,0.0150264558522966,0.808665053502537,0.978325998547178,0.661966536916371,TRUE,0.0140309155767031,0.012360014950564,0.0159240565490989
"1","back","back",1.95329438191571,0.0606725881102562,0.855331074201708,0.866881744133419,0.843168508724943,1.02380770332278,1.04462466009537,1.00309155554485,TRUE,0.875805416540638,0.862282221119264,0.888172915082087
"8","novel","cumul",-7.33177443926095,0.301609935421298,0.000331810900878795,0.000410331949744744,0.000264700798811704,2.08821725428742,3.7242790225136,1.05626904695811,TRUE,0.000653983368950111,0.000362207905575597,0.00118052009009781
"15","instant","novel",-6.38083757305342,0.31892966431436,0.00072615361610747,0.00091118535477434,0.000570216389206568,2.483520461569,4.55400304463537,1.20321217827855,TRUE,0.0016908399797011,0.000905660735477379,0.00315459546124997
"10","cumul","instant",-6.17289284818146,0.169206951624762,0.000673861543646916,0.000852740838483942,0.000524154811548401,3.17970318515665,4.68918080922007,2.06244043734706,TRUE,0.00208085612312918,0.00149439477652166,0.00289680107642447
"6","cumul","cumul",-6.95678350982718,0.250118966328081,0.000307931823651925,0.000384495869924802,0.000243058656598748,3.23051789590412,5.3390826960881,1.81111061666745,TRUE,0.000951248513885471,0.000582838927076881,0.00155216630452129
"14","cumul","novel",-6.7847547082626,0.229545383396389,0.000331810521790299,0.000410756611085419,0.000264700924498487,3.53838553509751,5.64614627558576,2.07596683065967,TRUE,0.00112960760998852,0.000720630128932506,0.00177027990671941
"16","novel","novel",-6.42017392315692,0.342485807528944,0.000357537962807565,0.0004383844573315,0.000288230662573745,4.87700406574766,9.22687499981322,2.26430915951139,TRUE,0.00162572571053598,0.000831501086307697,0.00317615811280062
"11","instant","instant",-4.74254069844547,0.190250467187999,0.00147381331601948,0.00188686943511375,0.0011302550506937,6.06879695036367,9.26997258603214,3.76677942691005,TRUE,0.00864115174335747,0.00596756055857014,0.0124975076683394
"12","novel","instant",-4.8865227450322,0.0894226423301256,0.000726030748902425,0.000910858703032732,0.000569905854128673,10.5065970649418,13.9143467599788,7.76177536685813,TRUE,0.00749108204835903,0.00629433440341177,0.00891332746044169
